Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),% SV toàn trường nhận hỗ trợ tài chính,Mức hỗ trợ trung bình toàn trường,,,
Robertson Scholars Program,Robertson Scholars Leadership Program (Duke & UNC),Quỹ / Tổ chức,"**Full tuition, room & board** (8 học kỳ) + phí bắt buộc; học chéo 2 trường",Học bổng lãnh đạo toàn phần tại **Duke** hoặc **UNC-Chapel Hill**,Đơn trực tuyến riêng,8–11,Theo thông báo,Theo thông báo,Chưa công bố,Có,Ứng viên trúng tuyển vào Duke/UNC,—,Không,Mọi ngành UG tại Duke/UNC,THPT (quốc tế) + đỗ Duke hoặc UNC + tiêu chí lãnh đạo,Không nêu,Thành tích & lãnh đạo xuất sắc,—,"Lãnh đạo, phục vụ cộng đồng",Gia hạn 8 học kỳ,Đơn online + phỏng vấn nhiều vòng,Nộp trực tiếp chương trình → song song apply trường,https://robertsonscholars.org/,Full-ride leadership scholarship,Có,,,,,
Emory University Scholars Program,Emory University,Trường,Từ bán phần đến **full tuition + housing & meals** (ví dụ Woodruff),Chương trình học bổng **merit**; yêu cầu chọn “Scholar consideration” và nộp trước hạn,Đơn: qua Common App (chọn mục Scholars),9–11,~01/11–15/11 (theo plan),Theo mốc Emory Scholar,Chưa công bố,Có,SV quốc tế đủ điều kiện,—,Không,Mọi ngành UG tại Emory/Oxford College,THPT (quốc tế) + đỗ Emory,Không nêu,Học thuật top; lãnh đạo/đóng góp,—,"Học thuật, lãnh đạo, tác động",Gia hạn theo quy định,Common App + essays + (phỏng vấn),Xét bởi Emory Scholars Committee,https://apply.emory.edu/financial-aid/scholar-program.html,Trang chính thức Scholars Program,Có,,,,,
Princeton University Financial Aid,Princeton University,Trường,**Need-based grant** (không vay); đáp ứng **100% nhu cầu**,Áp dụng cho **cả SV quốc tế**; chính sách **need-blind** & **no-loan**,Nộp hồ sơ aid (PFAS/CSS/khác),10–3,Theo chu kỳ,Theo chu kỳ,Không giới hạn,Có,Mọi công dân; xét theo nhu cầu tài chính,—,Không,Mọi ngành,THPT (quốc tế) + đỗ Princeton (need-based),Không nêu,Đủ điều kiện học thuật & chuẩn tài chính,—,Năng lực học thuật; minh chứng tài chính,Gia hạn hàng năm theo xét nhu cầu,PFAS/CSS + giấy tờ tài chính,Nộp theo hướng dẫn Princeton FA,https://admission.princeton.edu/cost-aid,"Trang Admission/FA xác nhận full-need, no-loan",Có,,,,,
MIT Scholarships (need-based),Massachusetts Institute of Technology (MIT),Trường,**MIT Scholarship (grant)** dựa trên **nhu cầu**; ~58% SV nhận; median ~$69.8k (2024–25),Áp dụng cho SV quốc tế; đánh giá qua **CSS Profile** + hồ sơ tài chính,Đơn aid (không cần đơn học bổng riêng),11–2,Theo chu kỳ,Theo chu kỳ,Không giới hạn,Có,SV quốc tế đủ điều kiện need-based,—,Không,Mọi ngành,THPT (quốc tế) + đỗ MIT (need-based),Không nêu,Theo xét nhu cầu của MIT,—,Học thuật tốt; chứng minh nhu cầu,Gia hạn hằng năm,Điền CSS + hồ sơ tài chính,Nộp theo hướng dẫn SFS MIT,https://sfs.mit.edu/undergraduate-students/types-of-aid/mit-scholarship/,Trang SFS nêu % và median,Có,,,,,
Amherst College Financial Aid,Amherst College,Trường,**Need-blind** cho quốc tế & đáp ứng **100% nhu cầu** (grants + work; không vay ban đầu),Chính sách hỗ trợ rất hào phóng; áp dụng cho SV quốc tế,Đơn aid (CSS/Amherst forms),10–2,Theo chu kỳ,Theo chu kỳ,Không giới hạn,Có,SV quốc tế,—,Không,Mọi ngành,THPT (quốc tế) + đỗ Amherst (need-based),Không nêu,Theo xét nhu cầu Amherst,—,Học thuật tốt; nhu cầu tài chính,Gia hạn hằng năm,Điền hồ sơ aid + chứng từ,Nộp theo hướng dẫn Amherst FA,https://www.amherst.edu/offices/financialaid/international_students,Need-blind quốc tế,Có,,,,,
Dartmouth College Financial Aid,Dartmouth College,Trường,Đáp ứng **100% nhu cầu**; **need-blind** với mọi quốc tịch,Gói hỗ trợ chủ yếu là **grants** (không buộc vay),Đơn aid (CSS/ISFAA...),10–2,Theo chu kỳ,Theo chu kỳ,Không giới hạn,Có,SV quốc tế,—,Không,Mọi ngành,THPT (quốc tế) + đỗ Dartmouth (need-based),Không nêu,Theo xét nhu cầu Dartmouth,—,Học thuật tốt; nhu cầu tài chính,Gia hạn hằng năm,Điền hồ sơ aid + chứng từ,Nộp theo hướng dẫn Dartmouth FA,https://financialaid.dartmouth.edu/apply-aid/international-students,Chính sách need-blind quốc tế,Có,,,,,
Stanford Financial Aid,Stanford University,Trường,**Need-based**; đáp ứng **100% nhu cầu** cho SV xin aid khi nộp,Không có học bổng merit (trừ athletic giới hạn); áp dụng cho quốc tế,Đơn aid (CSS/ISFAA...),10–2,Theo chu kỳ,Theo chu kỳ,Không giới hạn,Có,SV quốc tế nộp xin aid cùng hồ sơ tuyển,—,Không,Mọi ngành,THPT (quốc tế) + đỗ Stanford (need-based),Không nêu,Theo xét nhu cầu Stanford,—,Học thuật tốt; nhu cầu tài chính,Gia hạn hằng năm,Điền hồ sơ aid + chứng từ,Nộp theo hướng dẫn Stanford FA,https://admission.stanford.edu/apply/international/index.html,Phải khai xin aid ngay lúc nộp,Có,,,,,
Berea College Tuition Promise,Berea College,Trường,**Miễn 100% học phí** cho **mọi SV trúng tuyển**; hỗ trợ thêm chi phí ăn ở theo nhu cầu,Tất cả SV nhận **Tuition Promise Scholarship**; SV quốc tế được hỗ trợ 100% chi phí bắt buộc năm 1,Đơn nhập học + hồ sơ aid,8–1,Theo chu kỳ,Theo chu kỳ,Không giới hạn,Có,SV quốc tế đủ điều kiện nhập học Berea,—,Không,Mọi ngành,"THPT (quốc tế) + đỗ Berea (need-based, work-program)",Không nêu,Theo chính sách Berea,—,"Vượt khó, học thuật tốt",Gia hạn nếu đạt yêu cầu học tập,Đơn tuyển sinh + hồ sơ tài chính,Nộp theo hướng dẫn Berea,https://www.berea.edu/no-tuition/,Trang ‘No Tuition’ & mục quốc tế,Có,,,,,
Richmond Scholars Program,University of Richmond,Trường,**Full tuition + housing & food** (tối đa 8 học kỳ) + quỹ trải nghiệm $5.500,Học bổng **merit** danh giá nhất của UR (≈25 suất/năm),Tự động cân nhắc + hồ sơ bổ sung (nếu mời),8–12,Theo mốc UR,Theo mốc UR,~25/năm,Có,SV quốc tế đủ điều kiện,—,Không,Mọi ngành tại UR,THPT (quốc tế) + đỗ Univ. of Richmond,Không nêu,Hồ sơ học thuật & lãnh đạo rất mạnh,—,"Học thuật, lãnh đạo, cộng đồng",Gia hạn 8 học kỳ nếu đạt chuẩn,Đơn nhập học + vòng mời phỏng vấn (nếu có),Xét bởi Scholars Office,https://scholars.richmond.edu/,Trang nêu quyền lợi chi tiết,Có,,,,,
USC Trustee Scholarship,University of Southern California (USC),Trường,**Full tuition** (tối đa 8 học kỳ; 10 học kỳ với B.Arch),Học bổng **merit** cao nhất của USC; cực kỳ cạnh tranh,Được mời sau khi nộp hồ sơ (vòng phỏng vấn),8–12,Theo mốc USC,Theo mốc USC,Chưa công bố,Có,SV quốc tế đủ điều kiện,—,Không,Mọi ngành UG,"THPT (quốc tế) + đỗ USC (merit, full tuition)",Không nêu,Top hồ sơ nhập học; phỏng vấn,—,Học thuật & lãnh đạo nổi trội,Gia hạn theo quy định,Đơn tuyển sinh USC + phỏng vấn học bổng,Nhà trường mời theo hồ sơ,https://admission.usc.edu/cost-and-financial-aid/scholarships/,USC Associates ghi rõ Trustee = full tuition,Có,,,,,
Johnson Scholarship (W&L),Washington and Lee University,Trường,"Ít nhất **tuition, housing & food** + **$10.000** quỹ mùa hè",~44 suất/năm; học bổng **merit** hàng đầu của W&L,Đơn + **bài luận Johnson** (hạn 01/12),9–12,Theo mốc,01/12 (bài luận Johnson),≈44/năm,Có,SV quốc tế đủ điều kiện,—,Không,Mọi ngành UG tại W&L,THPT (quốc tế) + đỗ Washington & Lee (toàn phần/merit),Không nêu,Hồ sơ học thuật & lãnh đạo rất mạnh,—,"Lãnh đạo, liêm chính, đóng góp",Gia hạn nếu đạt chuẩn,Common/Coalition App + Johnson essay,Theo hướng dẫn W&L,https://www.wlu.edu/admissions/the-johnson-scholarship,Trang chính thức nêu quyền lợi,Có,,,,,
Morehead-Cain Scholarship,The Morehead-Cain Foundation (UNC–Chapel Hill),Quỹ / Tổ chức,"**Full-ride** (học phí, ăn ở, sách vở) + chương trình Summer Enrichment 4 năm + Discovery Funds",Học bổng **merit** đầu tiên tại Mỹ; dành cho SV học tại UNC,Đơn/đề cử theo lịch MC,8–10,Theo mốc,Theo mốc,~Dựa vào chỉ tiêu,Không,Giới hạn: theo diện đề cử/trường; dành cho UNC-CH,—,Không,Mọi ngành tại UNC-CH,THPT (quốc tế) + đỗ UNC Chapel Hill + đề cử/ứng tuyển riêng,Không nêu,"Hồ sơ học thuật, lãnh đạo & phẩm chất",—,"Lãnh đạo, chính trực, phụng sự",Gia hạn 8 học kỳ,Đơn online + nhiều vòng phỏng vấn,Nộp trực tiếp chương trình + apply UNC,https://www.moreheadcain.org/,Full-ride + enrichment,Có,,,,,
University of Padua International Scholarship,University of Padua (Italy),Trường,Miễn toàn bộ/giảm phần lớn học phí + trợ cấp sinh hoạt (mức theo call),Dành cho SV quốc tế thành tích xuất sắc nhập học các chương trình dạy bằng tiếng Anh,Đơn trực tuyến kèm hồ sơ nhập học,11–3,Theo call hằng năm,Theo call hằng năm,Chưa công bố,Có,SV quốc tế (không cư trú tại Ý),—,Có giới hạn,Các chương trình cử nhân dạy bằng tiếng Anh tại Unipd,THPT (quốc tế) + đỗ University of Padua,Không nêu,Học thuật xuất sắc; động lực mạnh,—,"Thành tích học tập, ngoại ngữ, động lực",Theo điều kiện offer,Đơn nhập học + đơn học bổng,Nộp trên cổng Unipd → xét chọn,https://www.unipd.it/en/scholarships,Kiểm tra danh mục “Padua International Excellence”,Có,,,,,
University of St. Gallen Excellence Scholarships,University of St. Gallen (HSG,Switzerland),Trường,Miễn/giảm học phí đáng kể (mức theo quỹ từng năm),Trao cho SV quốc tế có thành tích xuất sắc; một số quỹ theo khu vực,Đơn/được mời tùy chương trình,11–4,Theo call,Theo call,Chưa công bố,Có,SV quốc tế nhập học HSG,—,Có giới hạn,THPT (quốc tế) + đỗ University of St. Gallen,Cử nhân,Không nêu,Thành tích học thuật top; điểm đầu vào cao,—,"Học thuật, lãnh đạo",Theo quy định HSG,Đơn + hồ sơ minh chứng,Nộp qua HSG Scholarship Office,https://www.unisg.ch/en/studium/bachelor/finanzierung/stipendien/,Các quỹ có tiêu chí riêng,Có,,,,
Sciences Po Émile Boutmy Scholarship,Sciences Po (France),Trường,€3.000–€13.000/năm (UG) hoặc gói trọn khóa (mức do trường quy định),Dành cho SV **ngoài EU** lần đầu nhập học; xét hồ sơ thành tích + hoàn cảnh,Đơn xét trong hồ sơ tuyển sinh (không form riêng),10–2,Theo cycle tuyển sinh,Theo cycle tuyển sinh,Nhiều suất/năm,Có,Công dân ngoài EU/EEA; lần đầu nhập học Sciences Po,—,Không,Tất cả chương trình Collège Universitaire,THPT (quốc tế) + đỗ Sciences Po (track Collège/UG),Không nêu,Hồ sơ học thuật xuất sắc; minh chứng tài chính,—,"Học thuật, động lực, hoàn cảnh",Gia hạn nếu đạt chuẩn,Đơn nhập học + mục xét Boutmy,Sciences Po xét tự động nếu đủ điều kiện,https://www.sciencespo.fr/admissions/en/fees-funding/bursaries/emile-boutmy-scholarship.html,Gói và mức thay đổi theo năm,Có,,,,,
CEU Undergraduate Scholarship,Central European University (CEU – Vienna),Trường,Miễn/giảm học phí (nhiều mức) + hỗ trợ nhà ở/ăn trưa (tùy suất),Áp dụng cho các chương trình BA của CEU; xét thành tích,Đơn trực tuyến CEU,10–2,Theo call,Theo call,Chưa công bố,Có,SV quốc tế nhập học CEU,—,Không,"Các chương trình BA của CEU (Politics, Philosophy & Economics; Culture, etc.)",THPT (quốc tế) + đỗ CEU (track UG),Không nêu,Học thuật mạnh; tiếng Anh đạt chuẩn,—,Học thuật & động lực,Theo quy định CEU,Đơn + bài luận + bảng điểm,Nộp qua cổng CEU → xét,https://undergraduate.ceu.edu/scholarships,Kiểm tra từng chương trình BA,Có,,,,,
Wesleyan Freeman Asian Scholars,Wesleyan University (USA),Trường,**Full tuition** (4 năm) + hỗ trợ bổ sung theo nhu cầu,Dành cho **sinh viên từ châu Á** (có Việt Nam),11–12 suất/năm,Đơn tuyển sinh + hồ sơ Freeman riêng,8–11,Theo mốc Wesleyan,Theo mốc Wesleyan,~11–12/năm,Có,Công dân các nước châu Á (bao gồm Việt Nam),Danh sách quốc gia châu Á,Không,THPT (công dân châu Á theo danh sách) + đỗ Wesleyan,Cử nhân,Không nêu,Thành tích học thuật & lãnh đạo rất cao,—,"Học thuật, lãnh đạo, phục vụ",Gia hạn 8 học kỳ nếu đạt chuẩn,Common App + Freeman forms + tham chiếu,Nộp theo hướng dẫn Freeman/Wesleyan,https://www.wesleyan.edu/admission/aid/freeman.html,Full-tuition merit cho châu Á,Có,,,,
Trent Global Citizen Scholarships,Trent University (Canada),Trường,**C$2.000–C$24.000/năm** (merit) + các gói Need-Based/IB Awards,Nhiều thang giá trị cho SV quốc tế; có học bổng lãnh đạo cộng đồng,Đơn trực tuyến (một số tự động),9–3,Theo mốc Trent,Theo mốc Trent,Nhiều suất/năm,Có,SV quốc tế (study permit),—,Không,Mọi ngành UG tại Trent,THPT (quốc tế) + đỗ Trent,Không nêu,Thành tích học thuật; ngoại khóa/đóng góp,—,Học thuật & cộng đồng,Theo từng gói,Đơn học bổng + hồ sơ nhập học,Trent xét & thông báo,https://www.trentu.ca/futurestudents/international/tuition-scholarships/scholarships-awards,Trang tổng hợp scholarship quốc tế,Có,,,,,
Carleton Prestige Scholarship,Carleton University (Canada),Trường,**Prestige**: Chancellor’s/President’s/Richard Lewar/Collins… đến **full tuition**,Cần GPA đầu vào rất cao; có bài luận & thư giới thiệu,Đơn trực tuyến Prestige,11–3,Theo mốc Carleton,01/03 (thường niên),~A few dozen,Có,SV quốc tế năm nhất,—,Không,Mọi ngành UG tại Carleton,THPT (quốc tế) + đỗ Carleton,Không nêu,Điểm đầu vào top; lãnh đạo/hoạt động,—,Học thuật & lãnh đạo,Gia hạn nếu đạt chuẩn,Đơn + bài luận + tham chiếu,Nộp portal Carleton → xét,https://admissions.carleton.ca/scholarships/prestige-scholarships/,Yêu cầu hồ sơ riêng,Có,,,,,
UAlberta President’s International Scholarship,University of Alberta (Canada),Trường,**C$120.000/4 năm** (C$30.000/năm),Học bổng **Prestige** cho tân SV quốc tế thành tích xuất sắc,Đơn trực tuyến (High Value Awards),10–1,Theo mốc UAlberta,Theo mốc UAlberta,~10–15/năm (tham chiếu),Có,SV quốc tế (study permit),—,Không,Mọi ngành UG tại UAlberta,THPT (quốc tế) + đỗ UAlberta,Không nêu,Học thuật rất cao; lãnh đạo/đóng góp,—,"Học thuật, lãnh đạo, cộng đồng",Gia hạn 4 năm nếu đạt chuẩn,Đơn + bài luận + tham chiếu,Nộp trên cổng Awards → xét,https://www.ualberta.ca/admissions/undergraduate/scholarships/international/index.html,Thuộc nhóm “President’s International Distinction”,Có,,,,,
UOttawa President’s Scholarship,University of Ottawa (Canada),Trường,**C$30.000/năm × 4 = C$120.000** (+ C$7.500 study-abroad),Prestige Award cao nhất; cần đề cử/đơn riêng,Đơn trực tuyến Prestige,11–4,Theo mốc uOttawa,Theo mốc uOttawa,~1–2/năm,Có,SV quốc tế đủ điều kiện,—,Không,Mọi ngành UG tại uOttawa,THPT (quốc tế) + đỗ UOttawa,Không nêu,Học thuật xuất sắc; lãnh đạo,—,"Lãnh đạo, cộng đồng, sáng tạo",Gia hạn nếu đạt chuẩn,Đơn + bài luận + thư giới thiệu,Nộp theo hướng dẫn Awards Office,https://scholarships.uottawa.ca/p/a/awards,Prestige: President’s & Chancellor’s,Có,,,,,
UWinnipeg World Leaders Scholarship,University of Winnipeg (Canada),Trường,**C$3.500–C$5.000** (one-time),Ưu tiên ứng viên thể hiện **lãnh đạo** và đóng góp cộng đồng,Đơn trực tuyến,3–6,Theo thông báo,Theo thông báo,Nhiều suất,Có,SV quốc tế (study permit),—,Không,Mọi ngành UG đủ điều kiện,THPT (quốc tế) + đỗ UWinnipeg,Không nêu,Thành tích học thuật và lãnh đạo,—,"Lãnh đạo, phục vụ cộng đồng",Không gia hạn (one-off),Đơn + tham chiếu + bài luận,Apply online → xét chọn,https://www.uwinnipeg.ca/awards/international-students.html,Kiểm tra “World Leaders Entrance”,Có,,,,,
USaskatchewan Excellence Awards (International),University of Saskatchewan (Canada),Trường,**C$10.000** (International Excellence) + các mức khác (IB/Dean’s…),Tự động xét cho tân SV quốc tế dựa trên điểm vào,**9–3**,Theo mốc USask,Theo mốc USask,Nhiều suất,Có,SV quốc tế bậc Cử nhân,—,Không,Mọi ngành UG tại USask,Cử nhân,THPT (quốc tế) + đỗ USask,Điểm đầu vào ≥ mức trường quy định,—,Học thuật,Gia hạn theo quy định từng gói,Tự động (không cần đơn),USask xét tự động và thông báo,https://admissions.usask.ca/money/scholarships.php,Trang Scholarships & Bursaries nêu C$10k,Có,,,,,,
