Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),,,
SEARCA Graduate Scholarship,SEARCA (SEAMEO),Quỹ / Tổ chức,Toàn phần,"Học phí, sinh hoạt, vé máy bay, bảo hiểm, hỗ trợ luận văn…",Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,SEAMEO member countries,Có,Nông nghiệp & ngành liên quan,Theo đề án ưu tiên,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Ưu tiên công chức/viên chức,Theo điều khoản,HS theo SEARCA,Nộp online,https://www.searca.org/scholarships,Ưu tiên khu vực Đông Nam Á.,Có,,,,
Queen Elizabeth Commonwealth Scholarship (QECS),Association of Commonwealth Universities (ACU),Quỹ / Tổ chức,Toàn phần,Hỗ trợ học phí + sinh hoạt (tuỳ nước chủ nhà),Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chu kỳ theo đợt (vòng),Chưa rõ,Có,Quốc gia Khối Thịnh vượng chung,Chỉ quốc tịch CW,Không giới hạn,Master 2 năm tại nước CW khác,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Chưa rõ,"Thành tích, cam kết phát triển",Theo điều khoản,HS qua cổng ACU,Nộp online,https://www.acu.ac.uk/funding-opportunities/for-students/scholarships/queen-elizabeth-commonwealth-scholarships/,Phải học tại nước CW khác nước mình.,Có,,,
Heinrich Böll Foundation Scholarship,Heinrich-Böll-Stiftung (Đức),Quỹ / Tổ chức,Trợ cấp hàng tháng + hỗ trợ khác,Theo quy định Stiftung,Theo đợt hằng năm,3 & 9 (thường),Chưa rõ,Chưa rõ,Khoảng 1.000–1.500 suất/năm,Có,Quốc tế,Không,Không giới hạn,Đa ngành,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Hoạt động XH – xanh – dân chủ,Thành tích + cam kết xã hội,Gia hạn theo tiến độ,HS theo portal,Đăng ký online theo kỳ,https://www.boell.de/en/scholarships,Deadline/slots thay đổi theo năm.,Có,,,
Konrad Adenauer Stiftung Scholarship (KAS),Konrad-Adenauer-Stiftung (Đức),Quỹ / Tổ chức,Trợ cấp hàng tháng + phụ cấp,Theo quy định KAS,Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Quốc tế (ưu tiên non-EU),Có thể yêu cầu tiếng Đức B2,Không giới hạn,Đa ngành,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Kinh nghiệm & cam kết XH,Thành tích + lãnh đạo,Theo điều khoản,HS theo hướng dẫn KAS,Nộp online/qua đối tác,https://www.kas.de/en/web/begabtenfoerderung-und-kultur/auslaenderfoerderung,Thông tin tiếng Anh tại trang KAS.,Có,,,
Friedrich Ebert Stiftung Scholarship (FES),Friedrich-Ebert-Stiftung (Đức),Quỹ / Tổ chức,Trợ cấp hàng tháng + BHYT + phụ cấp,Gói hỗ trợ theo bậc học,Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Quốc tế (đang học tại Đức),Yêu cầu tiếng Đức,Không giới hạn,Đa ngành,Cử nhân + ≥2 năm kinh nghiệm làm việc toàn thời gian,Chưa rõ,Chưa rõ,Hoạt động xã hội-dân chủ,Thành tích + cam kết XH,Theo điều khoản,HS theo FES,Nộp online,https://www.fes.de/studienfoerderung/information-in-english,Ứng viên ngoại quốc phải đang học ở Đức.,Có,,,
Churchill Scholarship (Cambridge),Winston Churchill Foundation of the United States,Quỹ / Tổ chức,Toàn phần/Phần,Học phí + hỗ trợ sinh hoạt (1 năm) tại Cambridge,Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,~18 học bổng/năm,Không (chỉ công dân/đại học Mỹ),Chỉ sinh viên được đề cử bởi trường ĐH Mỹ,US institutions nominée,STEM tại Cambridge,ThS 1 năm,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Không bắt buộc,Thành tích nghiên cứu STEM cao,Theo điều khoản,HS qua trường được đề cử,Nộp qua Foundation,https://www.churchillscholarship.org/,Giới hạn cho sinh viên Hoa Kỳ.,Có,,,
Rhodes Scholarship (Oxford),Rhodes Trust,Quỹ / Tổ chức,Toàn phần,Học phí + sinh hoạt 2 năm (tuỳ chuẩn),Theo đợt hằng năm,Chưa rõ,Theo constituency,Theo constituency,Chưa rõ,Có (tuỳ suất ‘Global’/khu vực; VN: theo kênh toàn cầu),Theo từng khu vực/quốc tịch,Quota theo constituency,Không giới hạn,Đa ngành tại Oxford,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Không bắt buộc,"Lãnh đạo, phục vụ cộng đồng, xuất sắc",Theo quy chế Rhodes,HS trực tuyến qua Rhodes House,Hai vòng/Phỏng vấn,https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/,Xem track Global/SEA.,Có,,,
DeepMind Scholarship (AI/ML),Google DeepMind (qua các ĐH đối tác),Quỹ / Tổ chức,Toàn phần/Phần,Tài trợ học phí + sinh hoạt (tuỳ trường đối tác),Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Theo từng trường đối tác,Giới hạn nhóm mục tiêu (đa dạng),AI/CS liên quan,Master liên quan AI,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Không bắt buộc,"Tiềm năng AI, đa dạng & hoà nhập",Theo từng ĐH,HS tại ĐH đối tác (được đề cử),Theo ĐH đối tác,https://deepmind.google/about/education/,"Ví dụ: UCL, ITU, v.v.",Có,,,
Hitachi Scholarship Foundation,The Hitachi Global Foundation,Quỹ / Tổ chức,Toàn phần/Phần,Chương trình học bổng trước đây cho giảng viên/NCV châu Á,Không cố định,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Châu Á (tuỳ chương trình),Có,STEM/KHXH (tuỳ chương trình),Sau ĐH,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Kinh nghiệm giảng dạy/NCV,Theo chương trình,HS theo hướng dẫn,Theo thông báo,https://www.hitachi-zaidan.org/global/,Nhiều chương trình cũ (1985–2020); hiện tập trung giải thưởng & mạng lưới.,Chưa rõ,,,,
Fundación Carolina Scholarship,Fundación Carolina (Tây Ban Nha),Quỹ / Tổ chức,Toàn phần/Phần,Học phí + hỗ trợ sinh hoạt (tuỳ học bổng),Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,~700+ suất/năm,Có,Chủ yếu Ibero-América,Quốc tịch Ibero-América,Đa ngành,Cử nhân,Cử nhân (hoặc tương đương),Chưa rõ,Không bắt buộc,Thành tích + động lực,Theo điều khoản,Portal FC,Nộp online,https://www.fundacioncarolina.es/,Chủ yếu cho Mỹ Latinh/Ibero.,Có,,,,
OPEC Fund/OFID Scholarship,OPEC Fund for International Development (OFID/OPEC Fund),Quỹ / Tổ chức,Tạm dừng,"Chương trình đang tái cấu trúc, hiện **không nhận hồ sơ**",Tạm dừng,Không,Không,Không,0,Chưa rõ,Quốc tế,Không,Không giới hạn,Đa ngành,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Chưa rõ,Không áp dụng,Không áp dụng,Không áp dụng,https://opecfund.org/what-we-offer/special-initiatives/scholarship,Trang chính thức thông báo tạm dừng nhận hồ sơ.,Không,,,,
East-West Center Graduate Degree Fellowship,East-West Center (Hawai‘i,USA),Quỹ / Tổ chức,Toàn phần/Phần,Học phí UH Mānoa + sinh hoạt (tuỳ gói),Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Quốc tế (Châu Á-Thái Bình Dương,USA),Không,Cử nhân (hoặc tương đương),Đa ngành (UH Mānoa),Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,"Lãnh đạo, tham gia cộng đồng EWC",Theo điều khoản,HS theo handbook,Nộp qua portal Submittable,https://eastwestcenter.submittable.com/submit/86c3a9e1-6f03-4ed8-a448-c0334d86ab1c/graduate-degree-fellowship-2026,Link đợt 2026,Có,
WHO/TDR Postgraduate Scholarship (Implementation Research),TDR – UNICEF/UNDP/World Bank/WHO Special Programme,Quỹ / Tổ chức,Toàn phần,"Học phí, sinh hoạt, nghiên cứu, vé máy bay",Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,LMICs (tuỳ trường chủ trì),Hạn quốc tịch theo trường chủ trì,Y tế/IR về bệnh nhiệt đới,Implementation Research (y tế công cộng),Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Ưu tiên ứng viên LMIC,Thành tích + cam kết y tế công cộng,Theo điều khoản,HS theo trường chủ trì,Nộp qua trường đối tác,https://tdr.who.int/home/our-work/strengthening-research-capacity/postgraduate-training-scheme,Ví dụ Wits SPH – Nam Phi.,Có,,,
ICTP Master Scholarship (MHPC),ICTP & SISSA (Trieste,Italy),Quỹ / Tổ chức,Toàn phần (cho ứng viên từ nước đang phát triển),Học phí + sinh hoạt + vé máy bay (tuỳ suất),Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Quốc tế (ưu tiên LMIC),Không,STEM/CS,Cử nhân (hoặc tương đương),Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,Nền tảng lập trình/KHMT tốt,Theo tiến độ,HS theo MHPC/ICTP,Nộp online,https://www.ictp.it/opportunity/master-high-performance-computing,Chương trình MHPC,Có,,
,,,,,,,,,,,,,,,Cử nhân (hoặc tương đương),,,,,,,,,,,,,
Chevening Scholarship,UK FCDO & đối tác,Chính phủ,Toàn phần,"Học phí, trợ cấp sinh hoạt, vé máy bay, lệ phí visa…",Tự nộp trực tuyến qua Chevening,Q3–Q4,Chưa rõ,Chưa rõ,~1.500+ toàn cầu/CY,Có,Công dân các nước đủ điều kiện,Danh sách quốc gia Chevening,Không giới hạn,Mọi ngành học tại Vương quốc Anh,Cử nhân (hoặc tương đương),Không nêu,Không nêu,≥2 năm (≈2.800 giờ) kinh nghiệm,"Lãnh đạo, networking, tham vọng nghề nghiệp",Theo quy định Chevening,Hồ sơ online + thư giới thiệu + offer trường,Nộp trên cổng Chevening,https://www.chevening.org/scholarships/,Trang Việt Nam có mục riêng,Có,,,
Australia Awards Scholarships (AAS),DFAT (Australia),Chính phủ,Toàn phần,"Học phí, sinh hoạt, bảo hiểm, vé máy bay, hỗ trợ khác",Tự nộp trực tuyến + cơ quan đầu mối quốc gia,Q4–Q1,Chưa rõ,Chưa rõ,1.500+ (năm 2025 toàn cầu),Có,Đối tác theo khu vực,55 quốc gia đối tác,Theo Danh mục ưu tiên của từng nước,Mọi ngành tại ĐH Úc đối tác,Cử nhân (hoặc tương đương),Không nêu,Theo quy định từng nước,Ưu tiên kinh nghiệm phù hợp phát triển,"Thành tích, tiềm năng lãnh đạo, cam kết trở về",Theo quy định AAS,Hồ sơ online + giấy tờ bắt buộc,Nộp qua hệ thống OASIS/AAS,https://www.dfat.gov.au/people-to-people/australia-awards/australia-awards-scholarships,Portal tổng quan: australiaawards.com.au,Có,,,
Fulbright Vietnamese Student Program,US Department of State (PAS – US Embassy Hanoi),Chính phủ,Toàn phần,"Học phí, vé máy bay, sinh hoạt, bảo hiểm, phí SEVIS…",Tự nộp trực tuyến theo hướng dẫn ĐSQ,Q1,Chưa rõ,Theo thông báo từng năm,~20–40 (tham khảo),Có,Công dân Việt Nam,Việt Nam,Không giới hạn,Master tại ĐH Hoa Kỳ,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Ưu tiên kinh nghiệm/phục vụ cộng đồng,"Học thuật mạnh, tiếng Anh, phù hợp mục tiêu VN–US",Theo quy định Fulbright,Hồ sơ online + bài luận + thư giới thiệu,Nộp theo hướng dẫn US Embassy Vietnam,https://vn.usembassy.gov/fulbright-vietnamese-student-program/,Trang thông báo 2026-2027 có mốc cụ thể,Có,,,
Manaaki New Zealand Scholarship,New Zealand MFAT (Manaaki),Chính phủ,Toàn phần,"Học phí, sinh hoạt, bảo hiểm, vé máy bay; hỗ trợ khác",Tự nộp trực tuyến,Q1–Q2,Chưa rõ,Chưa rõ,Không nêu,Có,Công dân các nước đủ điều kiện,Danh sách đối tác MFAT,Theo ưu tiên lĩnh vực của NZ,"Phát triển, nông nghiệp, khí hậu, y tế…",Cử nhân (hoặc tương đương),Không nêu,Không nêu,Ưu tiên năng lực lãnh đạo,"Tác động phát triển, cam kết về nước",Theo quy định Manaaki,Hồ sơ online,Nộp trên cổng Manaaki,https://www.nzscholarships.govt.nz/,Xem thêm trang các trường NZ,Có,,,
Government of Ireland International Education Scholarships (GOI-IES),HEA (Ireland),Chính phủ,€10.000/năm + miễn toàn bộ học phí năm học,Học bổng cho bậc NFQ 9–10 (Master/PhD) tại cơ sở Ireland,Tự nộp trực tuyến,Q1–Q2,Theo call từng năm,Theo call từng năm,~60 suất/năm,Có,Mở toàn cầu,Không,Không giới hạn,Mọi ngành tại cơ sở Ireland tiếp nhận,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không bắt buộc,"Học thuật mạnh, động lực, phù hợp mục tiêu",Theo quy định HEA,Hồ sơ online + thư mời/đề cử trường,Nộp trên cổng HEA,https://hea.ie/policy/internationalisation/goi-ies/,Call 2025 nêu rõ timeline,Có,,,
Study Scholarships – Master Studies for All Academic Disciplines (DAAD),DAAD (Germany),Quỹ / Tổ chức,Trợ cấp + hỗ trợ khác,"Stipend hàng tháng, bảo hiểm, phụ cấp; có thể hỗ trợ học phí",Tự nộp trực tuyến,Thường Q3–Q4,Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,Master tại ĐH Đức,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không bắt buộc,Học thuật mạnh; ngoại ngữ (Đức/Anh),Theo quy định DAAD,Hồ sơ online + tài liệu bắt buộc,Nộp trên portal DAAD,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026200,PDF call cập nhật hằng năm,Có,,,
Erasmus Mundus Joint Masters (EMJM),European Commission – Erasmus+,Chính phủ,Toàn phần/Phần (tuỳ consortium),"Học phí, sinh hoạt, bảo hiểm, di chuyển… (theo chương trình)",Tự nộp trực tiếp cho từng EMJM,Q4–Q1,Theo chương trình,Theo chương trình,Không nêu,Có,Mở toàn cầu,Không,Theo từng EMJM,Master liên kết đa trường,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không bắt buộc,Học thuật mạnh; phù hợp chương trình,Theo chương trình,HS theo hướng dẫn từng EMJM,Nộp trên cổng EMJM của consortium,https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/erasmus-mundus-joint-masters,Trang tổng quan chính thức,Có,,,
Orange Knowledge Programme (OKP),Nuffic (Netherlands),Quỹ / Tổ chức,Không áp dụng,Chương trình đã kết thúc vào 12/2024; chỉ trang tổng kết,—,—,—,—,0,Chưa rõ,Đã kết thúc,—,—,—,Cử nhân (hoặc tương đương),—,—,—,—,—,—,https://www.nuffic.nl/en/news/nuffic-phases-out-most-activities-outside-europe-after-the-orange-knowledge-programme-ends,Individual OKP page: kết quả & tổng kết,Không,,,,
France Excellence Eiffel Scholarship Program,MEAE & Campus France,Chính phủ,"Phụ cấp sinh hoạt (Master: ~€1.200/tháng), BHYT, vé máy bay… (không bao gồm học phí)","Trường Pháp đề cử, không nhận tự nộp trực tiếp",Trường Pháp đề cử,Q4,01/10/2025,08/01/2026,Không nêu,Có,Ứng viên quốc tế do cơ sở Pháp đề cử,Không,Theo lĩnh vực ưu tiên của MEAE,Master/PhD,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc; phù hợp chương trình,Theo quy định Eiffel,Hồ sơ qua trường Pháp,Trường nộp lên Campus France,https://www.campusfrance.org/en/france-excellence-eiffel-scholarship-program,Timeline 2026 đã công bố,Có,,,
MBA (National University of Singapore – NUS) Scholarships,NUS Business School (The NUS MBA),Trường,Phần/Toàn phần (tuỳ học bổng),Các gói merit-based/industry (ví dụ: Derwin Pereira MBA Scholarship…),Tự nộp (song song hồ sơ MBA),Q3–Q1,Theo vòng tuyển,Nhiều mốc theo vòng,Giới hạn theo gói,Có,Mở toàn cầu,Không,Quản trị kinh doanh,MBA,Ngoại lệ theo chương trình,Không nêu,Không nêu,Kinh nghiệm làm việc (yêu cầu MBA),"Học thuật, lãnh đạo, thành tích nghề nghiệp",Theo chương trình,HS MBA + essay học bổng,Nộp trên cổng NUS MBA,https://mba.nus.edu.sg/admissions-and-funding/,Trang học bổng chính thức NUS MBA,Có,,,
Invest Your Talent in Italy (IYT),MAECI (Italy),Chính phủ,Miễn/giảm học phí (trường đối tác) + học bổng 9 tháng + thực tập,"Khoá tiếng Ý, thực tập doanh nghiệp; chỉ dành cho trường đối tác",Tự nộp trực tuyến,Q4–Q1,Theo call,Theo call,Không nêu,Có,Công dân các nước đủ điều kiện,Theo danh sách,Theo chương trình tại ĐH đối tác,Cử nhân,Không nêu,Không nêu,Không bắt buộc,Học thuật; ngoại ngữ; động lực,Theo quy định IYT,Hồ sơ online + giấy tờ bắt buộc,Nộp trên cổng IYT/MAECI,https://www.esteri.it/en/opportunita/borse-di-studio/per-cittadini-stranieri/progetti-speciali/invest-your-talent-in-italy/,Xem thêm hướng dẫn từ các trường (ví dụ UniPi),Có,,,,
Hungary Government Scholarship (Stipendium Hungaricum),Tempus Public Foundation (Hungary),Chính phủ,Miễn 100% học phí; hỗ trợ nhà ở/sinh hoạt (mức theo bậc),Nộp qua cổng TPF + đối tác gửi (Sending Partners),Tự nộp trực tuyến + đối tác gửi,Q4–Q1,Thường mở 11–12,Thường 15/01 (tuỳ năm),Không nêu,Có,Theo danh sách đối tác,Theo hiệp định song phương,Mọi ngành tại trường đối tác,Cử nhân/ThS/PhD tuỳ bậc,Không nêu,Không nêu,Không bắt buộc,Học thuật; ngoại ngữ,Theo quy định TPF,Hồ sơ online + giấy tờ bắt buộc,Nộp trên hệ thống TPF,https://stipendiumhungaricum.hu/,Có trang “Apply for…” của Study in Hungary,Có,,,,
Japanese Government (MEXT) Scholarships – Research Students,MEXT (Japan),Chính phủ,Toàn phần,"Học phí, vé máy bay, stipend; tuyến ĐSQ & tuyến trường",Tự nộp theo kênh ĐSQ hoặc trường,Q2,Thường 4–5,Theo Lãnh sự/ĐSQ từng nước,Không nêu,Có,Theo từng quốc gia,Theo thông báo ĐSQ/Trường,Nghiên cứu sinh/Master/PhD,Cử nhân,Không nêu,Không nêu,Thường yêu cầu kinh nghiệm/định hướng nghiên cứu,"Học thuật, nghiên cứu, tiếng Anh/Nhật",Theo diện MEXT,Hồ sơ theo hướng dẫn quốc gia,Nộp qua ĐSQ hoặc trường,https://www.studyinjapan.go.jp/en/smap-stopj-applications-research.html,Trang ĐSQ nước sở tại có lịch riêng,Có,,,,
Chinese Government Scholarships (CSC),China Scholarship Council (CSC),Chính phủ,Toàn phần/Phần,"Miễn học phí, ký túc xá/nhà ở, trợ cấp sinh hoạt (mức theo bậc)",Tự nộp trực tuyến (qua CSC/trường/ĐSQ),Q4–Q1,Theo call quốc gia,Theo call quốc gia,Không nêu,Có,Theo quota quốc gia,Theo call,Theo chương trình tại ĐH TQ,Cử nhân/ThS/PhD tuỳ bậc,Không nêu,Không nêu,Không bắt buộc,Học thuật; ngoại ngữ (HSK/IELTS…) theo trường,Theo diện/tiến độ,Hồ sơ online + tài liệu bắt buộc,Nộp trên cổng CSC hoặc qua ĐSQ,https://us.china-embassy.gov.cn/eng/lxfw/studyinchina/chinesegovernmentscholarship/,Tra cứu campuschina.org,Có,,,,
Excellence Scholarship & Opportunity Programme (ESOP) – ETH Zurich,ETH Zurich,Trường,Toàn phần,Học phí + chi phí sinh hoạt trong suốt chương trình Master; mentorship,Tự nộp (đi cùng đợt apply Master),11,01/11/2025,30/11/2025,Không nêu,Có,Mở toàn cầu,Không,Các chương trình Master tại ETH,Cử nhân,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc; động lực nghiên cứu,Theo quy định ETH,Hồ sơ Master + gói ESOP,Nộp trên cổng ETH,https://ethz.ch/students/en/studies/financial/scholarships/excellencescholarship.html,Khung thời gian 1–30/11/2025 (MEZ),Có,,,,
Knight-Hennessy Scholars (KHS) – Stanford University,Knight-Hennessy Scholars – Stanford,Trường,Toàn phần (tối đa 3 năm),"Học phí, sinh hoạt, học tập, 1 chuyến bay/năm",Tự nộp trực tuyến (song song hồ sơ Stanford),Q3–Q4,Theo vòng KHS,Theo vòng KHS,~80–100+/năm,Có,Mở toàn cầu,Không,Mọi ngành sau ĐH tại Stanford,Cử nhân,Không nêu,Không nêu,Không bắt buộc,"Lãnh đạo, tư duy công dân toàn cầu, thành tích học thuật",Theo quy định KHS,Hồ sơ online KHS + hồ sơ vào Stanford,Nộp trên cổng KHS và cổng Stanford,https://knight-hennessy.stanford.edu/program-overview/funding,Trang “Funding” nêu quyền lợi,Có,,,,
Schwarzman Scholars – Tsinghua University,Schwarzman Scholars,Quỹ / Tổ chức,Toàn phần (1 năm MGA),"Học phí, nhà ở, sinh hoạt, BHYT, chuyến nghiên cứu…",Tự nộp trực tuyến,Q1–Q2 & Q3–Q4,Theo đợt quốc tế/TQ,Theo đợt quốc tế/TQ,~150–200/năm,Có,Mở toàn cầu,Không,Master of Global Affairs (Tsinghua),Cử nhân,Không nêu,Không nêu,Không bắt buộc,"Lãnh đạo, phục vụ cộng đồng, học thuật mạnh",Theo quy định chương trình,Hồ sơ online + phỏng vấn,Nộp trên cổng Schwarzman Scholars,https://www.schwarzmanscholars.org/,Trang chủ chính thức,Có,,,,
Rhodes Scholarship – Oxford University,Rhodes Trust,Quỹ / Tổ chức,Toàn phần (thường 2 năm),Học phí + sinh hoạt; theo constituency (có suất Global),Tự nộp trực tuyến theo khu vực,Q2–Q3,Theo constituency,Theo constituency,~100+/năm,Có (qua track Global),Theo từng quốc gia/track,Theo constituency,Mọi ngành sau ĐH tại Oxford,Cử nhân,Không nêu,Không nêu,Không bắt buộc,"Lãnh đạo, phục vụ, xuất sắc học thuật",Theo quy chế Rhodes,Hồ sơ trực tuyến + phỏng vấn,Nộp qua hệ thống Rhodes House,https://www.rhodeshouse.ox.ac.uk/scholarships/applications/global/,Xem tiêu chí tuổi/điều kiện Global,Có,,,,
Gates Cambridge Scholarship,Gates Cambridge Trust,Quỹ / Tổ chức,Toàn phần,Toàn bộ chi phí học tập + sinh hoạt; ≈80 suất/năm,Tự nộp trực tuyến (cùng hồ sơ Cambridge),Q3–Q4,Theo vòng theo khu vực,Theo vòng theo khu vực,~80/năm,Có,Mở toàn cầu,Không,PG tại University of Cambridge,Cử nhân,Không nêu,Không nêu,Không bắt buộc,"Năng lực trí tuệ nổi trội, cam kết cải thiện đời sống người khác",Theo quy định Trust,Hồ sơ Cambridge + phần học bổng,Nộp qua Graduate Application Portal,https://www.gatescambridge.org/programme/the-scholarship/,Mốc 2026 mở từ 9/2025,Có,,,,
ADB–Japan Scholarship Program (JSP),Asian Development Bank (Chính phủ Nhật tài trợ),Chính phủ,Toàn phần,"Học phí, sinh hoạt (có nhà ở), sách, bảo hiểm, vé máy bay; ~135 suất/năm",Nộp qua trường đối tác/ADB,Q4–Q1,Theo call,Theo call,~135/năm (tham khảo),Có,Công dân nước thành viên ADB đủ điều kiện,Danh sách quốc gia + trường đối tác,Ngành phát triển/Kinh tế/QL/KH&CN,Cử nhân,Không nêu,Không nêu,Kinh nghiệm làm việc liên quan,Học thuật tốt; cam kết phát triển quốc gia,Theo quy định ADB,Hồ sơ qua trường/ADB,Nộp theo hướng dẫn ADB/PI,https://www.adb.org/what-we-do/funds/japan-scholarship-program-jsp,Tham khảo “Participating Institutions” hằng năm,Có,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland Fellows Programme – Asia,Department of Foreign Affairs (Ireland),Chính phủ,Toàn phần,"Học phí, vé máy bay, sinh hoạt, bảo hiểm, hỗ trợ khác (1 năm Master)",Tự nộp trực tuyến,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Các nước đủ điều kiện,Theo danh sách quốc gia,Theo ưu tiên của Ireland,Đa ngành (Master tại HEI Ireland),Cử nhân,Chưa rõ,Chưa rõ,Kinh nghiệm nghề nghiệp (early/mid-career),"Lãnh đạo, cam kết phát triển",Theo quy định chương trình,Hồ sơ online + giấy tờ bắt buộc,Nộp trên cổng chương trình,https://irishaidfellowships.ie/strands/ireland-fellows-programme-asia.html,,Có,,,
McCall MacBain Scholarship - McGill University,McCall MacBain Scholars (McGill),Quỹ / Tổ chức,Toàn phần,"Học phí, sinh hoạt, phát triển lãnh đạo (tối đa 3 năm tùy chương trình)",Tự nộp trực tuyến,6–9,01/06/2025,20/08/2025 (ứng viên quốc tế),~80–100+/năm,Có,Mở toàn cầu,Không,Không giới hạn,Mọi ngành sau ĐH tại McGill,Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,"Lãnh đạo, học thuật mạnh, phục vụ cộng đồng",Theo quy định KMS,Hồ sơ online + 2 reference,Nộp trên cổng KMS và McGill,https://mccallmacbainscholars.org/apply/,,Có,,,
University of Warwick – ASEAN–UK SAGE Women in STEM Scholarship,University of Warwick & British Council,Quỹ / Tổ chức,Toàn phần,"Học phí, sinh hoạt tới 12 tháng, vé máy bay khứ hồi, phí IELTS, visa, NHS surcharge",Tự nộp trực tuyến,Chưa rõ,Chưa rõ,Đã đóng cho 2025,5 suất (2025),Có,Nữ từ ASEAN/Timor-Leste,ASEAN-UK SAGE,STEM,Master tại Warwick (STEM),Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,"Nữ, học thuật tốt, đáp ứng điều kiện BC",Theo điều khoản BC,Hồ sơ online qua Warwick,Nộp theo hướng dẫn học bổng,https://warwick.ac.uk/study/scholarships-and-bursaries/scholarships/women-in-stem-scholarship/,,Có,,,
Paris-Saclay IDEX Master’s Scholarship,Université Paris-Saclay,Trường,€10.000/năm + tối đa €900 chi phí đi lại/visa,Chi trả 10 tháng (9–6); nhận khi đến Pháp và nhập học,Tự nộp (kèm hồ sơ Master),Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Mở toàn cầu,Không,Theo chương trình Master,Master tại Paris-Saclay,Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,Học thuật xuất sắc,Theo quy định IDEX,Hồ sơ Master + gói học bổng,Nộp qua cổng trường,https://www.universite-paris-saclay.fr/en/admission/bourses-et-aides-financieres/international-masters-scholarships-program-idex,,Có,,,
SI Scholarship for Global Professionals (SISGP),Swedish Institute (SI),Chính phủ,Toàn phần,"Miễn học phí, sinh hoạt, bảo hiểm, hội mạng NFGP",Tự nộp trực tuyến,Q1,Theo call,Theo call,Chưa rõ,Có,Công dân các nước trong danh sách,33 quốc gia,Không giới hạn,Masternya tại ĐH Thụy Điển,Cử nhân,Chưa rõ,Chưa rõ,Kinh nghiệm nghề nghiệp,"Lãnh đạo, tác động xã hội",Theo quy định SI,Hồ sơ online + tài liệu,Nộp trên cổng SI,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/,,Có,,,
